book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
hvac,HI15E,Complete Refrigerant Directional Control System Renovation · Complete balance and recharge coolant system · Install inline dryers and flush system · Inst,Services,hvac,29.25,0,5397.00,5397.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI16A,Refrigerant Directional Control System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,12,0,2210.00,2210.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI16B,Basic Refrigerant Directional Control System Renovation · Recharge with new refrigerant · Performance and safety testing · 6 month warranty,Services,hvac,16,0,2983.00,2983.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI16C,Main Refrigerant Directional Control System Renovation · Install inline coolant moisture removal filters · Install refrigerant acid treatment · Flush and,Services,hvac,21,0,3867.00,3867.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI16D,Complete Refrigerant Directional Control System Renovation · Complete balance and recharge coolant system · Install inline dryers and flush system · Inst,Services,hvac,26.25,0,4861.00,4861.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI16E,Complete Refrigerant Directional Control System Renovation · Complete balance and recharge coolant system · Install inline dryers and flush system · Inst,Services,hvac,31,0,5745.00,5745.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI17A,Directional Control Circuit System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,5.75,0,1046.00,1046.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI17B,Basic Directional Control Circuit System Renovation · Electrical termination and control wiring service · Performance and safety testing · 6 month warran,Services,hvac,8.5,0,1569.00,1569.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI17C,Main Directional Control Circuit System Renovation · Power protection system rejuvenation · Voltage distribution system renovation · Electrical terminat,Services,hvac,11.25,0,2092.00,2092.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI17D,Complete Directional Control Circuit System Renovation · Voltage distribution system renovation · Upgrade to complete power protection system · Performan,Services,hvac,14.25,0,2616.00,2616.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI17E,Complete Directional Control Circuit System Renovation · Voltage distribution system renovation · Upgrade to complete power protection system · Performan,Services,hvac,17,0,3139.00,3139.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI18A,Refrigerant Containment System Rejuvenation · Line purge · Performance and safety testing · 30 day warranty,Services,hvac,8,0,1490.00,1490.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI18B,Basic Refrigerant Containment System Renovation · Metering device flush and line purge · Performance and safety testing · 6 month warranty,Services,hvac,11,0,2012.00,2012.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI18C,Main Refrigerant Containment System Renovation · Triple evacuation and line purge · Performance calibration service · Performance and safety testing · 1 y,Services,hvac,14,0,2608.00,2608.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI18D,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,17.75,0,3278.00,3278.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI18E,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,21,0,3874.00,3874.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI19A,Refrigerant Containment System Rejuvenation · Line purge · Performance and safety testing · 30 day warranty,Services,hvac,9,0,1682.00,1682.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI19B,Basic Refrigerant Containment System Renovation · Metering device flush and line purge · Performance and safety testing · 6 month warranty,Services,hvac,12.25,0,2270.00,2270.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI19C,Main Refrigerant Containment System Renovation · Triple evacuation and line purge · Performance calibration service · Performance and safety testing · 1 y,Services,hvac,16,0,2943.00,2943.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI19D,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,20,0,3700.00,3700.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI19E,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,23.75,0,4372.00,4372.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI1A,Refrigerant Pressure Control System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,7.25,0,1344.00,1344.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI1B,"Basic Refrigerant Pressure Control System Renovation · Recover, recharge, repair and test · Install inline refrigerant filters and flush lines · Performa",Services,hvac,9,0,1680.00,1680.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI1C,HI1C,Services,hvac,6,0,1125.00,1125.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI1D,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,11.75,0,2151.00,2151.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI1E,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,14.5,0,2689.00,2689.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI20A,Refrigerant Containment System Rejuvenation · Line purge · Performance and safety testing · 30 day warranty,Services,hvac,10,0,1873.00,1873.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI20B,Basic Refrigerant Containment System Renovation · Metering device flush and line purge · Performance and safety testing · 6 month warranty,Services,hvac,13.75,0,2529.00,2529.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI20C,Main Refrigerant Containment System Renovation · Triple evacuation and line purge · Performance calibration service · Performance and safety testing · 1 y,Services,hvac,17.75,0,3278.00,3278.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI20D,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,22.25,0,4121.00,4121.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI20E,Complete Refrigerant Containment System Renovation · Install refrigerant filtering system · Refrigerant calibration service · Restore system to prime con,Services,hvac,26.25,0,4870.00,4870.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI21A,Refrigerant Containment System Rejuvenation · Line purge · Performance and safety testing · 30 day warranty,Services,hvac,11.25,0,2065.00,2065.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI21B,Basic Refrigerant Containment System Renovation · Metering device flush and line purge · Performance and safety testing · 6 month warranty,Services,hvac,15,0,2787.00,2787.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI21C,Main Refrigerant Containment System Renovation · Triple evacuation and line purge · Performance calibration service · Performance and safety testing · 1 y,Services,hvac,19.5,0,3613.00,3613.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
