Item Name,Description,Mfg Part #,Category,Rate,Item Type
HA4D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,5747,Non Inventory
HA4E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6130,Non Inventory
HA5A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,2137,Non Inventory
HA5B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,2351,Non Inventory
HA5C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,2778,Non Inventory
HA5D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,3206,Non Inventory
HA5E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,3419,Non Inventory
HA6A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,2694,Non Inventory
HA6B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,2963,Non Inventory
HA6C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,3502,Non Inventory
HA6D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,4041,Non Inventory
HA6E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,4311,Non Inventory
HA7A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,3305,Non Inventory
HA7B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,3635,Non Inventory
HA7C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,4296,Non Inventory
HA7D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,4957,Non Inventory
HA7E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,5287,Non Inventory
HA8A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,3754,Non Inventory
HA8B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,4130,Non Inventory
HA8C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,4881,Non Inventory
HA8D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,5632,Non Inventory
HA8E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6007,Non Inventory
HA9A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,4237,Non Inventory
HA9B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters \CRInstall compressor terminal kit\CRCoolant system recharge,,Services,4660,Non Inventory
HA9C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,5507,Non Inventory
HA9D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6355,Non Inventory
HA9E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6778,Non Inventory
HB10A,Electrical Wiring and Terminal Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,503,Non Inventory
HB10B,Basic Electrical Wiring and Terminal Renovation\CRPerformance and safety testing \CR6 month warranty,,Services,905,Non Inventory
HB10C,Main Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety test,,Services,1383,Non Inventory
HB10D,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,1634,Non Inventory
HB10E,Complete Electrical Wiring and Terminal Renovation\CRInstall new compressor lug kit\CRUpgrade to performance enhancement system\CRPerformance and safety,,Services,2011,Non Inventory
HB11A,Electrical Wiring and Terminal Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,739,Non Inventory
HB11B,Basic Electrical Wiring and Terminal Renovation\CRPerformance and safety testing \CR6 month warranty,,Services,1330,Non Inventory
